Date;Mkt-RF;SMB;HML;RF;Mkt_EW;Mkt_EW-rf;MOM;RMW;CMA;SMB5;LT_Rev;ST_Rev
192607;2,96;-2,3;-2,87;0,22;1,28;1,06;;;;;;-1,84
192608;2,64;-1,4;4,19;0,25;2,97;2,72;;;;;;1,39
192609;0,36;-1,32;0,01;0,23;-0,5;-0,73;;;;;;-0,18
192610;-3,24;0,04;0,51;0,32;-3,31;-3,63;;;;;;-2,03
192611;2,53;-0,2;-0,35;0,31;2,31;2;;;;;;0,96
192612;2,62;-0,04;-0,02;0,28;2,4;2,12;;;;;;1,95
192701;-0,06;-0,56;4,83;0,25;1,15;0,9;0,44;;;;;-2
192702;4,18;-0,1;3,17;0,26;5,8;5,54;-1,32;;;;;-1,31
192703;0,13;-1,6;-2,67;0,3;-1,87;-2,17;3,59;;;;;-3,3
192704;0,46;0,43;0,6;0,25;0,93;0,68;4,17;;;;;-3,54
192705;5,44;1,41;4,93;0,3;6,46;6,16;2,96;;;;;-0,67
192706;-2,34;0,47;-1,53;0,26;-2,07;-2,33;0,53;;;;;-0,68
192707;7,26;-3,23;-1,16;0,3;5,83;5,53;4,29;;;;;-0,76
192708;1,97;-0,72;-3,69;0,28;0,42;0,14;1,14;;;;;-1,21
192709;4,76;-3,57;-0,71;0,21;3,07;2,86;1,89;;;;;-1,1
192710;-4,31;2,13;-4,33;0,25;-3,74;-3,99;-1,08;;;;;-2,79
192711;6,58;2,76;-0,31;0,21;9,91;9,7;-0,67;;;;;4,47
192712;2,09;0,93;-1,06;0,22;3,07;2,85;3,15;;;;;-0,28
192801;-0,68;4,25;-0,72;0,25;3,23;2,98;-0,6;;;;;0,74
192802;-1,7;-2,03;-0,69;0,33;-2,34;-2,67;-1,09;;;;;0,18
192803;8,81;-0,26;-1,2;0,29;7,01;6,72;4,87;;;;;-5,71
192804;4,23;3,82;3,67;0,22;8,38;8,16;-5,65;;;;;-0,67
192805;1,52;2,98;-3,46;0,32;3,79;3,47;2,85;;;;;3,16
192806;-4,85;-3,5;-0,06;0,31;-6,75;-7,06;2,05;;;;;0,97
